"Step","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"727","0.0405","0.0405","0.0405"
"728","0.0795","0.0795","0.0795"
"729","0.119","0.119","0.119"
"730","0.1385","0.1385","0.1385"
"731","0.1535","0.1535","0.1535"
"732","0.1635","0.1635","0.1635"
"733","0.1695","0.1695","0.1695"
"734","0.1785","0.1785","0.1785"
"735","0.189","0.189","0.189"
"736","0.1905","0.1905","0.1905"
"737","0.1945","0.1945","0.1945"
"738","0.2025","0.2025","0.2025"
"739","0.2085","0.2085","0.2085"
"740","0.2085","0.2085","0.2085"
"741","0.2115","0.2115","0.2115"
"742","0.219","0.219","0.219"
"743","0.2195","0.2195","0.2195"
"744","0.2175","0.2175","0.2175"
"745","0.221","0.221","0.221"
"746","0.223","0.223","0.223"
"747","0.2275","0.2275","0.2275"
"748","0.2315","0.2315","0.2315"
"749","0.2345","0.2345","0.2345"
"750","0","0","0"
"751","0","0","0"
"752","0.0595","0.0595","0.0595"
"753","0.1415","0.1415","0.1415"
"754","0.165","0.165","0.165"
"755","0.1805","0.1805","0.1805"
"756","0.1945","0.1945","0.1945"
"757","0.1955","0.1955","0.1955"
"758","0.21","0.21","0.21"
