Step,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX
825,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08
840,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08
841,4.68E-08,4.68E-08,4.68E-08,4.68E-08,4.68E-08,4.68E-08,4.68E-08,4.68E-08,4.68E-08
847,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08
854,8.84E-08,8.84E-08,8.84E-08,8.84E-08,8.84E-08,8.84E-08,8.84E-08,8.84E-08,8.84E-08
859,5.79E-08,5.79E-08,5.79E-08,5.79E-08,5.79E-08,5.79E-08,5.79E-08,5.79E-08,5.79E-08
861,5.28E-08,5.28E-08,5.28E-08,5.28E-08,5.28E-08,5.28E-08,5.28E-08,5.28E-08,5.28E-08
865,4.79E-08,4.79E-08,4.79E-08,4.79E-08,4.79E-08,4.79E-08,4.79E-08,4.79E-08,4.79E-08
867,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08
868,4.51E-08,4.51E-08,4.51E-08,4.51E-08,4.51E-08,4.51E-08,4.51E-08,4.51E-08,4.51E-08
873,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08,4.25E-08
880,6.92E-08,6.92E-08,6.92E-08,6.92E-08,6.92E-08,6.92E-08,6.92E-08,6.92E-08,6.92E-08
883,5.55E-08,5.55E-08,5.55E-08,5.55E-08,5.55E-08,5.55E-08,5.55E-08,5.55E-08,5.55E-08
890,4.44E-08,4.44E-08,4.44E-08,4.44E-08,4.44E-08,4.44E-08,4.44E-08,4.44E-08,4.44E-08
898,3.96E-08,3.96E-08,3.96E-08,3.96E-08,3.96E-08,3.96E-08,3.96E-08,3.96E-08,3.96E-08
899,3.90E-08,3.90E-08,3.90E-08,3.90E-08,3.90E-08,3.90E-08,3.90E-08,3.90E-08,3.90E-08
918,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08
923,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08
925,4.19E-08,4.19E-08,4.19E-08,4.19E-08,4.19E-08,4.19E-08,4.19E-08,4.19E-08,4.19E-08
926,1.53E-07,1.53E-07,1.53E-07,1.53E-07,1.53E-07,1.53E-07,1.53E-07,1.53E-07,1.53E-07
